,clean_fin_review
528,"month 



 shoes bad condition month regular runningi totally disappointed brand spark.for daily run previously use adidas shoe run well years,i realise gold star shoe near well sparkdon’t buy shoe"
529,not buy kindly read look good light weight ok comfort.but use go walk/jog couple week leg get infected boil corn corn still not go im pay heavy fee doctor could take big bramd shoe money.really disappointed
530,waste never think amazon sell kind product fit mistake keep pack unopened day time open find not fit return time show not
531,size issue poor quality size small standard poor quality material shoe loose basic shape two day
532,poor quality sole not last even month poor quality bottom make top quality somehow well never buy osf name bata never saw bad quality
533,not satisfied sole hard uncomfortable sole bad quality hard
536,poor quality torn sole product quality poor soul bad get shoe tore sole cheap quality glue use suggestion buy shoe
537,bad product bad product
538,not recieved actual shoe per pic not recieved actual shoe per pic
539,"small mention ed 



 too small"
540,sole not proper shoe excellent sole not conform always move not fix
541,quality quality not good
542,bottom sole heavy like product heavy
544,"cushion help not suitable running,not comfortable used deal pain foot"
545,base tight base tight foot hurt rest good degisn look nice
546,cheap quality quality class finger pain krne lag jati hour upr se soul bhi fit ni per ke sath nikal jati
547,low paste low quality money waist
548,bad product quality not good
549,product quality poor product quality poor
550,pity undersized pair...could not use pair shoe appear well make comfortable despite intention try indian brand one make state uttarakhand indian company return day max size manaufactured bourge)...reason undersized pair shoe pity communicate input customer care number print box till time zee footwear company make brand make necessary amends shoe size would suggest people buy one size large usual size
551,buy major shoe shoe make lot noise walk marble surface feel embracement due noise office mall
552,wrong size product good size wrong size shoe write marker seeindex_pointing_up disappointeddisappointed_face
554,choona laga diya one line wear day continuously sole get damaged right side shoe
555,bad seller cocoblu retail limit shoe cocoblu retail limit different occasion two receive wrong size one receive damage without sole.each time order replacement/return otherwise product good price range.please avoid seller cocoblu retail limit
556,not real size not happy
558,shoe small small size
560,"bad bad quality,with weks become damage"
562,wrongly design one can’t put foot shoe it’s wrongly design
563,sole shoe sole bad quality standard sole level shoe upan
565,use product bad
566,neither soft flexible hence not comfortable already mention
567,westage money paste sole poor leave upper part days.westage money
569,good not well walk not comfortable
570,colour damage item colour not perfect
571,not satisfied look different real photo
572,like slipper waste money not comfortable regular us use time like feel walk road without slipper
573,not buy let tell one thing clearly size shoe not accord uk standardsi order recived even not uk talk quality although weight light cushiony sole finger portion front part hard not even feel fabrici recommend not go atleast product
574,insole not fix become uncomfortable wear insole not fix become uncomfortable weat
575,product not good expect glue remove sole not comfortable not good product expect not comfortable compare brand amazon price range
576,receive empty box shoe steal price work foot hour shift lot walk occasional short sprint take day break can't even feel they're absolutely worth try
577,product quality gold not confurt dry surface great shoe comfy rub even morning dew grass tho sock wet quickly try water-repellent help seem give little time grass would nice box
578,copy item not original pretty comfy shoe good design also get pretty sweet deal
579,replace shoe order shoe dad really love comfortable fit really well.very satisfy
580,smell start wear day quality not good get tore use day
583,bad base true colour display soft foot lightweight perfect size love
584,bad material size different
